Complexity,Loss,Equation
1,4709.656,"0.6664229"
2,4704.534,"sin(x0)"
3,4675.342,"x1 / x0"
4,3512.6448,"exp(x1 * -0.26103914)"
5,403.8996,"(x1 * x0) - 65.72625"
7,0.10582654,"(x1 * x0) + (x2 * -2.666677)"
9,0.062017925,"((x0 * x1) * 0.9969593) + (x2 * -2.658531)"
11,0.061999526,"(((x0 * x1) + 0.014782393) * 0.9969589) + (x2 * -2.659078)"
13,0.05049449,"(x2 * -2.6580427) + (x0 * (x1 * ((0.067663595 / x2) + 0.99425113)))"
18,0.023054734,"((x2 * -1.6931517) + ((((x1 * 0.9913865) * x0) - cos(x0 * -0.17771217)) + 1.4641061)) - x2"
20,0.022596963,"(x2 * -1.693164) + (((((x0 * 0.99134606) * x1) + 1.463693) - cos((x0 * -0.17963208) + -0.029861461)) - x2)"
