Complexity,Loss,Equation
1,1187.2792,"x1"
3,1121.1226,"x1 - x0"
5,34.75221,"(x0 - x1) * -9.717216"
7,34.652298,"((x1 * 1.0039998) - x0) * 9.679124"
9,34.576046,"(x0 / x2) - ((x0 - x1) * 9.698161)"
10,34.202488,"sin(x2 / x0) - ((x0 - x1) * 9.64454)"
12,33.799572,"sin(x2 / (x0 + -1.4144759)) - ((x0 - x1) * 9.652361)"
14,33.654358,"sin((x0 + x0) + (x2 - x1)) - ((x0 - x1) * 9.713953)"
16,32.495064,"sin((((x2 / 1.2713042) + x0) + x0) - x1) - ((x0 - x1) * 9.725636)"
18,32.33059,"(sin(((x2 / 1.2715166) + x0) + (x0 - x1)) - ((x0 - x1) * 8.453777)) * 1.1418802"
20,32.32845,"(sin((x2 / 1.2679192) + ((x0 + x0) - x1)) - ((x0 - x1) * 9.706416)) + (x0 / x2)"
