Complexity,Loss,Equation
1,3277.9973,"-0.07362496"
2,3276.103,"cos(x2)"
3,2989.2017,"x0 * -2.082389"
4,2751.413,"exp(x0 * -0.30840737)"
5,34.25164,"(26.990461 - x2) * x0"
7,23.74239,"x0 * ((x2 * -0.9438142) + 25.356983)"
9,19.843473,"-0.9889102 * ((x0 * (x2 + -27.96471)) + x1)"
11,19.481237,"(x0 * ((x2 * -0.979005) + 27.142805)) + (x1 * -0.76583093)"
13,19.478302,"(x1 * -0.76418763) + ((((x2 * -0.97884685) + 27.134644) * x0) + -0.056737788)"
14,18.50131,"(sin(x0 * 0.17797852) / 0.1148141) + (x0 * ((x2 + -25.947628) * -0.91109943))"
15,18.406307,"((x0 * (x2 + -26.093214)) * -0.9110891) + (sin(sin(x0 * 0.19261822)) / 0.11494632)"
17,18.372831,"(sin(sin(x0 * 0.1916198)) / 0.112573795) + ((((x2 + -26.081018) * -0.9109592) * x0) + 0.18452337)"
18,18.247679,"(x0 * ((x2 + -25.984032) * -0.91063774)) + ((sin(x0 * 0.1816672) + (0.58780116 / x2)) / 0.117829464)"
20,18.233915,"((sin((x0 * 0.18158765) + -0.022497363) + (0.6296529 / x2)) / 0.11758337) + (((x2 + -25.983225) * -0.9105374) * x0)"
