Complexity,Loss,Equation
1,22.981829,"0.03393353"
2,22.484276,"cos(x2)"
3,6.4617014,"-0.54661286 - x1"
5,5.9161033e-7,"(x2 * -0.999826) - x1"
7,5.833225e-7,"((x2 * -0.999818) + -9.2339724e-5) - x1"
9,4.26559e-7,"(((x2 * x2) * 1.2499406e-5) - x1) - x2"
10,3.1518974e-7,"((exp(x2 * 0.47212392) * 2.4100805e-7) - x1) - x2"
12,1.872807e-7,"(((sin(x2 * -0.20565507) * 0.00037205432) * x2) - x1) - x2"
14,1.756084e-7,"((sin((x0 * 0.40653688) + -0.6816547) * (x2 * 0.00044823744)) - x1) - x2"
15,1.7249053e-7,"((sin(sin((x0 * 0.40553918) + -0.68168217)) * (x2 * 0.0005082274)) - x1) - x2"
16,1.7145389e-7,"((((x2 * sin((x0 * 0.40577143) + -0.6816843)) * 0.0004465549) - x1) * 0.9999835) - x2"
17,1.6774257e-7,"(((sin(sin((x0 * 0.37753728) + -0.4902145)) * x2) * 0.0005686022) - x1) - (x2 * 1.0000607)"
19,1.6382263e-7,"(((sin(sin((x0 * 0.37753728) + -0.4902145)) * (x2 * 0.0005686022)) - x1) * 0.999984) - (x2 * 1.0000607)"
