Complexity,Loss,Equation
1,0.616814,"x0"
3,0.59598607,"x0 * 0.9645455"
5,1.0934785e-7,"x0 - (x1 * -0.20000063)"
7,1.00908395e-7,"(x0 - (x1 * -0.20000057)) * 0.99997705"
9,1.0089102e-7,"((x0 * 0.9999769) - (x1 * -0.1999963)) + 4.2825677e-6"
11,9.394991e-8,"(x0 * 0.9999769) + (x1 * ((x2 * 2.348056e-5) - -0.19999099))"
13,9.263261e-8,"(x0 - (x1 * -0.19999191)) + (x2 * (-4.799299e-5 - (x1 * -4.465758e-5)))"
14,8.952744e-8,"(-0.19999455 * ((x2 * (cos(x0 * -0.28231397) * -0.00037303814)) - x1)) + x0"
15,8.892132e-8,"((0.931257 - x1) * (x2 * -3.9675135e-5)) - ((x1 * -0.19998966) + (x0 * -0.9999838))"
16,8.492356e-8,"((((x2 * cos(x0 * -0.28231397)) * -0.00037303814) - x1) * -0.19999455) + (x0 * 0.9999834)"
18,8.491475e-8,"((((x2 * cos((-0.049598284 - x0) * -0.28231397)) * -0.00037303814) - x1) * -0.19999455) + (x0 * 0.9999834)"
