Complexity,Loss,Equation
1,0.6201814,"x0"
3,0.5990988,"x0 * 0.9643542"
5,0.006546899,"x0 + (x1 * 0.19970797)"
7,0.0065425015,"x0 + ((x1 - 0.010618821) * 0.19963074)"
9,0.006538278,"(x0 + ((x1 + -0.010393422) * 0.19963656)) * 0.9994869"
11,0.006536217,"(x0 + ((x2 * 0.00022867763) / x1)) + (x1 * 0.19970039)"
12,0.0065066256,"x0 + ((x1 + (sin(x0 * x0) * -0.04743805)) * 0.19966364)"
14,0.006492067,"(sin((x0 * x0) * 1.0162094) * -0.011075226) + (x0 + (x1 * 0.19964635))"
16,0.006328335,"x0 + ((x1 + (sin((x0 * x0) + (x1 * x1)) * -0.11146772)) * 0.20009468)"
17,0.0063235294,"x0 + (((sin(sin((x1 * x1) + (x0 * x0))) * -0.12490699) + x1) * 0.20011094)"
18,0.006284251,"(x0 + (sin((x0 * x0) + ((x1 * x1) / 1.0361537)) * -0.024118297)) + (x1 * 0.20009519)"
19,0.0062799007,"((x1 * 0.20009743) + (sin(sin((x1 * (x1 / 1.0361371)) + (x0 * x0))) * -0.027528726)) + x0"
20,0.006277587,"((x1 * 0.2000979) + x0) + (sin(sin(sin(((x1 * x1) / 1.0360588) + (x0 * x0)))) * -0.030179916)"
