Complexity,Loss,Equation
1,22.981829,"0.0339325"
2,22.481636,"cos(x2)"
3,6.5144777,"-0.5462533 - x1"
5,0.054174982,"(x2 + x1) * -0.9977132"
7,0.05417199,"((x2 + x1) + -0.0017305438) * -0.99771345"
8,0.05110026,"((x2 / exp(x2)) - x1) - x2"
9,0.04818632,"((sin(x2) / exp(x2)) - x1) - x2"
10,0.04426828,"((x2 / exp(x2 * 2.279355)) - x1) - x2"
11,0.044141714,"((sin(x2) / exp(2.3353934 * x2)) - x1) - x2"
12,0.04372349,"sin(exp(exp(-0.28730682 - x2))) - (x2 + (x1 + 0.8704202))"
14,0.043582834,"((x2 / exp((x2 + x2) - -0.16118692)) - x1) - (x2 - -0.01890744)"
15,0.04338155,"sin(exp(exp(exp(x2) * (-0.28706917 - x2)))) - ((x2 + x1) + 0.86874783)"
16,0.042970598,"sin(exp(exp((x2 - -0.6096666) * (-0.40965882 - x2)))) - ((x1 + 0.8502924) + x2)"
17,0.0429574,"sin(exp(exp(((x2 - -0.3333249) * -0.74796426) * exp(x2)))) - ((x2 + 0.8480877) + x1)"
18,0.04294356,"sin(exp(exp((-0.5431371 - (x2 * 1.1380756)) * (x2 - -0.46070582)))) - (x2 + (x1 + 0.85051674))"
19,0.042762063,"sin(exp(exp(exp(x2 + x2) * ((x2 - -0.4469186) * -0.52288663)))) - (x2 + (x1 + 0.84096575))"
20,0.042753357,"sin(exp(exp((((exp(x2) * x2) - -0.30635148) * exp(x2)) * -0.7549129))) - (x1 + (x2 + 0.8400103))"
