Complexity,Loss,Equation
1,0.49637622,"0.032725234"
3,8.140216e-9,"x0 * -0.99998283"
5,8.137366e-9,"(1.692354e-6 - x0) * 0.99998266"
7,8.134872e-9,"(x0 - (x1 * 3.2512078e-6)) * -0.99998266"
8,8.131179e-9,"(x0 - (exp(x1) * 2.0224882e-6)) * -0.99998266"
10,3.0975873e-9,"(2.0677064e-6 / ((sin(x0) - x1) + 0.83471227)) - x0"
14,7.941851e-10,"(-0.2012424 / ((((sin(x1) + x0) - x1) / -5.7371667e-6) - -160.7265)) - x0"
16,2.4153743e-10,"(-0.03813858 / (((x0 + (sin(x1) - x1)) / -5.526031e-6) - (-31.21028 / x0))) - x0"
17,2.0050224e-10,"(-0.03813858 / (((x0 + (sin(x1) - x1)) / -5.526031e-6) - (-31.21028 / sin(x0)))) - x0"
18,1.511294e-10,"(-0.0313358 / ((((x0 + sin(x1)) - x1) / -5.526031e-6) - ((x1 / -0.03133585) / x0))) - x0"
19,1.4865487e-10,"(-0.04113514 / ((((x0 + sin(x1)) - x1) / -4.00695e-6) - ((x1 / -0.022786155) / sin(x0)))) - x0"
