Complexity,Loss,Equation
1,0.001251044,"x1"
3,0.0012487178,"x1 * 0.9978498"
5,0.001247167,"(x1 * 0.9977837) + -0.0012461337"
6,0.0012122169,"sin(x1 * 0.44180843) * 2.3152711"
7,0.00072712003,"cos(x0) * sin(x1 * 1.7242069)"
8,0.00063298596,"sin(sin(x1) * 1.8485527) * cos(x0)"
10,0.0006323594,"sin(sin(x1) * 1.8482653) * cos(-0.0018102555 - x0)"
11,0.00062882464,"cos(x0) * sin(x1 + (x1 * cos(cos(x0))))"
12,0.00062118744,"cos(x0 / 1.0771949) * sin((x1 * 0.6588019) + sin(x1))"
13,0.00061987183,"sin(x1 + (x1 / (cos(sin(x0)) * 1.7840468))) * cos(x0)"
14,0.0006189811,"cos(x0) * sin(((x1 + x1) / cos(x0 * 0.5584269)) * 0.78498125)"
15,0.0006187939,"cos(x0) * sin((x1 + (x1 / sin(cos(x0 * 0.80818826)))) * 0.724529)"
16,0.0006170987,"cos(x0 / 1.016877) * sin(((x1 / cos(x0 * 0.7131335)) + x1) * 0.7776115)"
18,0.0006169358,"cos(x0 / 1.016877) * sin((((x1 / cos(x0 * 0.7131335)) + x1) * 0.7776115) - 0.00082931743)"
