Complexity,Loss,Equation
1,0.49637622,"0.032726645"
3,0.0012244608,"x0 * -0.9974208"
5,0.0012236361,"(x0 - -0.00091203797) * -0.9974843"
6,0.0012092455,"sin(x0 * 0.3556207) * -2.8498003"
7,0.00070471544,"sin(x0 * -1.7158157) * cos(x1)"
8,0.0006153351,"sin(sin(x0) * -1.8363806) * cos(x1)"
10,0.00061125326,"sin(sin(x0) * -1.7895494) * cos(x1 / -1.0219533)"
12,0.000606493,"(cos(x1 / -1.0370313) + 0.007508598) * sin(sin(x0) * -1.729159)"
13,0.0006019346,"sin(x0 * (((x1 * x1) * -0.28016126) + -1.5517002)) * cos(x1)"
15,0.00060092326,"cos(x1) * sin(((x1 * ((x1 + 0.03296484) * -0.2791783)) + -1.5529876) * x0)"
17,0.0006003168,"sin((-1.5414199 + (((x1 + 0.031354137) * x1) * -0.28874248)) * x0) * (0.0013512735 + cos(x1))"
19,0.00059932086,"(cos(x1) + 0.0018464978) * sin((x0 + 0.0015865231) * (((x1 + 0.03157567) * (x1 * -0.28744724)) + -1.5394588))"
