Complexity,Loss,Equation
1,38.614853,"0.028227897"
3,0.36863685,"x0 * -8.247992"
4,0.024338929,"sin(x0) * -9.802405"
6,0.024330549,"sin(x0 * 1.0023674) * -9.786887"
8,0.013239752,"(x1 * -0.048840504) - (sin(x0) * 9.805284)"
10,0.0132323885,"(x1 * -0.048851006) - (sin(x0 + 0.00035772665) * 9.80531)"
12,0.013224498,"((-0.0038261616 / ((0.7682575 / x1) + -0.009936347)) - sin(x0)) * 9.805287"
15,0.013222944,"((-0.004984255 / (exp((x1 - x0) * -0.013241393) / x1)) - sin(x0)) * 9.805273"
16,0.01320532,"((-0.0037713798 / (cos(cos(cos(cos(cos(exp(x1)))))) / x1)) - sin(x0)) * 9.805386"
17,0.013189856,"(-0.037735075 / (cos(cos(cos(cos(exp(sin(exp(x1))))))) / x1)) - (sin(x0) * 9.805382)"
18,0.013170344,"((-0.0037740807 / (cos(cos(cos(cos(cos(exp(x1 + -0.018255338)))))) / x1)) - sin(x0)) * 9.805275"
19,0.013158933,"(-0.037742376 / (cos(cos(cos(cos(exp(sin(exp(x1 + -0.012736858))))))) / x1)) - (sin(x0) * 9.805361)"
