Complexity,Loss,Equation
1,0.011583566,"x1"
3,0.011572536,"x1 * 0.99847054"
5,0.011566323,"(x1 + -0.0024973082) * 0.99844587"
6,0.011540781,"cos(x0 * 0.11072505) * x1"
8,0.011517344,"x1 * cos(x0 * (x1 * 0.050507415))"
10,0.011507905,"x1 * cos((x0 - sin(x0)) * cos(x1))"
11,0.011504623,"x1 * cos(exp(x0 * x0) * (x1 * 0.018536253))"
12,0.01149967,"(x1 - 0.002677111) * cos(cos(x1) * (x0 - sin(x0)))"
13,0.011482064,"cos(exp(x0 * x0) * (x1 * 0.023483776)) * (x1 * 1.003346)"
15,0.011472486,"((cos(exp(x0 * x0) * (x1 * 0.02351357)) * x1) * 1.0033303) - 0.0032145472"
17,0.0114648435,"1.0031538 * ((cos(x1 * (exp(x0 * (x0 + 0.10035721)) * -0.022997998)) * x1) - 0.0030552212)"
19,0.011462413,"((x1 * 1.0028652) * cos(((x1 + 0.12112717) * exp(x0 * (x0 + 0.12112717))) * -0.022307236)) - 0.0023109629"
20,0.011462267,"(cos(exp(x0 * (0.12112717 + x0)) * (-0.022307236 * (x1 + exp(-1.986123)))) * (x1 * 1.0028652)) - 0.0023109629"
