Complexity,Loss,Equation
1,38.614853,"0.028226078"
3,0.44790292,"x0 * -8.2361145"
4,0.08947752,"sin(x0) * -9.796006"
6,0.08938915,"sin(x0 * 1.0075357) * -9.74752"
8,0.07753242,"((x1 * 0.005170148) + sin(x0)) * -9.799333"
10,0.07747143,"(sin(x0 * 1.0062323) + (x1 * 0.005185466)) * -9.759095"
12,0.07746577,"(sin(x0 * 1.0062323) + ((x1 * 0.005185454) - 0.00024350132)) * -9.759095"
13,0.077332415,"((sin(x0) * cos(x1 * 0.03748748)) * -9.81951) + (x1 * -0.050514534)"
15,0.07711176,"(x1 * -0.050272834) + ((cos(x1 * -0.04537898) * -9.7452965) * sin(x0 * 1.0130029))"
17,0.077107266,"(sin(x0 * 1.0128682) * (cos(x1 * -0.04498396) * -9.745647)) + ((x1 - 0.035833042) * -0.05029033)"
20,0.07709959,"(((cos(x1 * 0.045461368) * cos(x0 * 0.09710837)) * sin(x0)) * -9.867759) + (0.002216535 - (x1 * 0.050312072))"
