Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.0014703e-9,"x1 * 0.99998003"
5,2.0013282e-9,"(x1 * 0.99998003) + -4.4334035e-7"
6,2.0011657e-9,"x1 - (sin(x1) * 2.0945197e-5)"
7,1.3103877e-9,"x1 - (1.7473518e-7 / (x2 - 0.00011653801))"
9,1.2520295e-9,"(x1 - (-1.6455632e-9 / (1.0982579e-6 - x2))) * 0.9999802"
11,1.2513461e-9,"((x1 + -8.9391256e-7) - (-1.1418406e-8 / (x2 - -7.544113e-6))) * 0.99998003"
13,1.2512642e-9,"(x1 - (((-7.876624e-8 / (x2 - -4.5216734e-6)) / 11.611975) - -9.1910414e-7)) * 0.99998"
15,1.2511101e-9,"((-8.606812e-7 - ((-1.0808112e-7 / ((x2 * -0.27732536) - -9.422996e-6)) / 7.6408343)) + x1) * 0.99998"
17,1.2498106e-9,"(x1 - ((((-1.0805407e-7 / (x2 - -9.422996e-6)) / 7.640844) + (x2 - -8.2878927e-7)) - x2)) * 0.9999798"
18,1.2026812e-9,"x1 - ((1.6870305e-7 / (x2 - -3.3449198e-6)) / (cos(x0) / (((x1 * x2) - 0.00018808275) / 0.011707939)))"
20,1.2016144e-9,"x1 - ((1.6887314e-7 / ((x2 - -3.3449153e-6) - x1)) / (cos(x0) / (((x1 * x2) - 0.0001880827) / 0.011707938)))"
