Complexity,Loss,Equation
1,5.7378453e-5,"x1"
3,5.7313184e-5,"x1 + -0.0002565086"
5,5.7283105e-5,"(x1 + -0.00026188206) * 0.99954796"
6,5.727908e-5,"x1 + (-0.00017966035 / exp(x0))"
7,5.7101537e-5,"x1 + (-9.075208e-5 / (0.75447094 - x1))"
8,5.7100475e-5,"(-9.037225e-5 / sin(0.7544709 - x1)) + x1"
9,5.7087393e-5,"(-9.037225e-5 / ((0.24121614 - -0.5114012) - x1)) + x1"
10,5.6801826e-5,"(sin(x2 * (x1 + 0.5660828)) * -0.0011914349) + x1"
12,5.6765293e-5,"x1 + (sin((x1 + 0.56803656) * (x2 + -0.246144)) * -0.0012082625)"
14,5.669904e-5,"x1 + (sin((x1 + 0.57105786) * (x2 + (x1 - 0.6839962))) * -0.0014152686)"
16,5.6686502e-5,"x1 + (sin((x1 + 0.57105786) * ((x1 + x2) - cos(x1))) * sin(-0.0014152691))"
17,5.6660483e-5,"x1 + ((cos(x2 + -0.517426) * sin((x1 * (x1 * x2)) - 0.39366072)) * 0.0022085367)"
18,5.6454042e-5,"((cos(x2 + cos(x2)) * sin((x1 * (x1 * x2)) - 0.50350475)) * 0.0028954463) + x1"
20,5.638992e-5,"x1 + ((cos(cos(x2) + x2) + -0.098178886) * (sin(((x2 * x1) * x1) - 0.48531836) * 0.0029404773))"
