Complexity,Loss,Equation
1,0.17947422,"-0.0045674955"
3,0.153465,"x0 * -0.17368361"
4,0.11724349,"sin(x0) - x0"
6,0.04156748,"sin(x0 + x0) - x0"
8,0.03714357,"(sin(x0) * 5.8696337) - (x0 * 4.985365)"
9,0.03641879,"x0 * ((x0 * (x0 * -0.8742627)) - -0.835612)"
10,0.035082757,"(sin((x0 * x0) + 1.7102665) + -0.4234229) * x0"
12,0.035063706,"(sin((x0 * x0) + 1.7125999) + -0.42138106) * (x0 + -0.011078098)"
13,0.0341681,"((sin((x0 * x0) + 1.7125999) + -0.42138106) * x0) * cos(x1)"
15,0.03241341,"(cos(x1) * (x0 * sin((x0 * x0) + 1.8009324))) + (x0 * -0.32829487)"
17,0.031918563,"(x0 * (cos(x1) * (sin((x0 * x0) + 1.7297996) * 1.0779333))) + (x0 * -0.4050008)"
18,0.031566046,"(x0 * -0.39790526) + (cos(x1) * sin(x0 * (sin((x0 * x0) + 1.7500372) * 1.1612014)))"
19,0.030049978,"(cos(x1 * 1.6327103) * (sin(((x0 * x0) * 1.23363) + 1.5988863) * x0)) + (x0 * -0.24723133)"
20,0.029765867,"(x0 * -0.30392358) + sin(sin((x0 * (x0 * 1.3063079)) + 1.449997) * (cos(x1 / -0.65428436) * x0))"
