Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
3,0.0053696837,"0.0254453 / x0"
4,0.00038707737,"x1 / exp(x0)"
5,1.7702332e-12,"x0 - (x0 * x1)"
7,1.5789572e-12,"((x1 * x0) - x0) * -0.9999951"
9,1.4261682e-12,"((x0 * x1) - (x0 + 4.09658e-7)) * -0.9999941"
11,1.4042426e-12,"(((x0 * x1) - x0) * -0.99999183) - (-2.6754185e-7 / x0)"
12,1.3608464e-12,"-0.99998796 * ((x1 * x0) - (x0 - (-3.0383353e-6 / exp(x0))))"
13,1.2488964e-12,"((x0 * x1) - x0) * (-0.99999833 - (cos(exp(x0)) * 1.3177155e-5))"
14,9.819269e-13,"((x1 * x0) - x0) * (-1.0000154 - (sin(x0 * -1.6997536) * 2.9338644e-5))"
15,9.633299e-13,"((x0 * x1) - x0) * (-1.0000163 - (x0 * ((x0 - 1.9451597) * 3.1407788e-5)))"
16,9.633298e-13,"(-1.0000163 - ((x0 - 1.9451597) * sin(x0 * 3.1407788e-5))) * ((x0 * x1) - x0)"
17,9.632648e-13,"((x0 * x1) - x0) * (-1.0000163 - ((x0 * (x0 - (1.4671357 - -0.47731808))) * 3.1407788e-5))"
20,9.625394e-13,"(-1.0000155 - (((x0 * (x0 - cos(x1 * -0.38404468))) - x0) * 2.9267656e-5)) * ((x1 * x0) - x0)"
