Complexity,Loss,Equation
1,2.2563845e-5,"x1"
3,2.2555641e-5,"x1 / 0.9999054"
5,2.254654e-5,"(x0 * 8.724166e-6) + x1"
7,2.2526647e-5,"((x1 * -0.002696573) + 1.0027531) * x1"
8,2.2474373e-5,"(x1 + sin(x1 * 0.28254423)) * 0.7820081"
9,6.6386656e-6,"x1 * exp(cos(x1 * -133.55026) * 0.0077351383)"
10,6.623324e-6,"x1 * exp(sin(cos(x1 * -133.52788) * 0.007737388))"
11,6.151865e-6,"exp((cos(x1 * -136.6718) * x1) * -0.007890444) * x1"
13,5.8859023e-6,"exp(x1 * (cos(x1 * -136.6706) * (x1 * -0.0080210045))) * x1"
14,5.050068e-6,"exp((cos(2.5684576 / x0) * -0.011176815) * cos(x1 * -98.970276)) * x1"
15,4.8072684e-6,"exp((cos(x1 * -98.970276) * cos(exp(x1) / x0)) * -0.011176815) * x1"
16,4.6613877e-6,"exp((cos(2.5684576 / x0) * (x1 * -0.011176815)) * cos(x1 * -98.970276)) * x1"
18,4.480589e-6,"x1 * exp((x1 * (x1 * cos(-2.9124577 / x0))) * (-0.011176815 * cos(-98.970276 * x1)))"
20,4.3352247e-6,"x1 * exp(((x1 * x1) * cos((x1 * -2.9141061) / x0)) * (cos(x1 * -98.96211) * -0.0115279965))"
