Complexity,Loss,Equation
1,0.0065076225,"0.03333997"
4,0.0014733645,"x1 / exp(x0)"
5,0.00077871926,"x1 * (1.0060234 - x1)"
6,0.0005186997,"cos(x1 * 1.5699816) * x1"
7,0.0004408176,"(x1 * (1.0018568 - x1)) / 0.77816653"
8,0.00043875075,"(x1 * sin(1.0015146 - x1)) / 0.73904085"
9,0.00040075256,"(1.0022391 - x1) * ((x1 / 0.84419566) - -0.035525426)"
10,0.00036132312,"x1 * exp((-0.61358315 - (x0 * x1)) * x1)"
11,0.00035558597,"sin(x1 * exp((-0.58945656 - (x0 * x1)) * x1))"
12,0.00024146456,"(x1 - -0.16822879) * exp(-0.64710814 - ((x1 * x1) * x0))"
13,0.00021935106,"sin(exp((-0.7260713 - (x1 * x0)) * x1)) * (x1 - -0.06629446)"
14,0.00017012059,"exp(-0.7883799 - ((x0 * (x1 * x1)) * x1)) * (x1 - -0.21168983)"
15,0.00014730044,"exp(-0.60559887 - (x0 * (x1 * (x1 * x1)))) * sin(x1 - -0.15703392)"
16,0.00012986803,"exp(x1 * (-0.99058646 - (x1 * (x1 * (x1 * x0))))) * (x1 - -0.0491644)"
17,0.00011077458,"(x1 - -0.071828045) * sin(exp(x1 * (-0.9775557 - ((x1 * x1) * (x0 * x1)))))"
18,0.00010080902,"(x1 - -0.05235199) * exp(x1 * (-1.0723546 - (x1 * (((x1 * x1) * x1) * x0))))"
19,8.7317974e-5,"(x1 - -0.07504041) * sin(exp(x1 * (-1.0637295 - (x1 * (((x1 * x1) * x0) * x1)))))"
20,8.256529e-5,"(x1 - -0.05518264) * exp(x1 * (-1.1364375 - (((x1 * x1) * (x0 * (x1 * x1))) * x1)))"
