Complexity,Loss,Equation
1,1187.4398,"x1"
3,1121.0099,"x1 - x0"
5,0.0093756635,"(x1 - x0) * 9.97715"
7,0.009375642,"((x1 + 4.0652862e-6) - x0) * 9.977126"
9,0.0070108133,"(x1 - x0) * ((x2 * -0.0013708229) + 10.016282)"
10,0.0020043438,"(cos(x0 * 0.026178386) + 9.00857) * (x1 - x0)"
11,0.0019717212,"(cos(sin(x0 * -0.026970362)) + 9.009344) * (x1 - x0)"
12,0.0019434661,"(9.010687 + cos(sin(sin(x0 * -0.02804262)))) * (x1 - x0)"
13,0.001922687,"(x1 - x0) * (cos(sin(sin(sin(x0 * -0.029043334)))) + 9.011803)"
14,0.0019104758,"(x1 - x0) * (cos(sin(sin(sin(sin(x0 * -0.029960837))))) + 9.012514)"
15,0.0017815102,"(cos((x0 * -0.02687882) * sin(x2 * 0.046206184)) + 9.0050955) * (x1 - x0)"
16,0.00167932,"(cos((sin(sin(x2 * 0.046125423)) * -0.03254993) * x0) + 9.007003) * (x1 - x0)"
17,0.0016351402,"(cos(sin(x0 * -0.034178074) * sin(sin(x2 * -0.045945648))) + 9.0079775) * (x1 - x0)"
18,0.0016079366,"(x1 - x0) * (cos(sin(sin(sin(x2 * -0.04617813)) * sin(x0 * -0.03558225))) + 9.009383)"
19,0.0015765066,"(cos(sin(sin(sin(x2 * -0.04515684))) * sin(sin(x0 * -0.04140416))) + 9.010231) * (x1 - x0)"
