Complexity,Loss,Equation
1,3277.9973,"-0.063145734"
2,3276.3564,"cos(x2)"
3,2987.8354,"x0 * -2.090445"
4,2739.234,"exp(x0 / -3.224234)"
5,14.64971,"x0 * (27.004807 - x2)"
7,0.10296747,"(x0 * (28.004778 - x2)) - x1"
9,0.05509304,"(((27.99643 - x2) * x0) - x1) * 0.99601316"
11,0.04762605,"((x0 * 0.9945538) * (27.961586 - x2)) - (x1 * 0.9629653)"
13,0.047371205,"(x0 * ((27.96041 - x2) * 0.99450415)) - ((x1 * 0.9624218) + 0.016751522)"
15,0.047371164,"-0.01674869 - ((((-27.806828 / x2) + 0.994506) * (x2 * x0)) + (x1 * 0.9624495))"
16,0.021935213,"(((27.720444 / x2) + -0.9928289) * (x0 * x2)) + (sin(x1 * 0.10609833) - x1)"
18,0.019697519,"sin(x1 / 9.467676) - ((x0 * (((-27.70102 / x2) + 0.9921749) * (x2 + 0.013030971))) + x1)"
20,0.01935179,"sin(x1 / 9.445143) - (x1 + (((-27.701876 / x2) + 0.9921997) * (((x2 + 0.012739154) * x0) - 0.00753039)))"
