Complexity,Loss,Equation
1,1187.5934,"x1"
3,1121.0781,"x1 - x0"
5,5.536145,"(x1 - x0) * 9.937812"
7,5.5360703,"(x1 - (x0 - 0.0008626069)) * 9.93781"
9,5.518938,"(9.938645 - (x1 * -0.0033156148)) * (x1 - x0)"
11,5.5173125,"(9.938733 - (x1 * -0.0036951248)) * ((x1 - x0) - 0.004341297)"
12,5.5045195,"(x1 - x0) * (9.9276285 - (sin(x2 / -3.4165359) * -0.06889654))"
14,5.4996448,"(9.928388 - (sin((x2 / -4.1021295) - 1.4914815) * -0.074672274)) * (x1 - x0)"
15,5.4976892,"(9.92869 - (sin((x2 / -3.346107) + cos(x0)) * -0.08692136)) * (x1 - x0)"
16,5.4954376,"(x1 - x0) * (9.924822 - (sin(x2 / (-3.43729 - (0.55324656 / x0))) * -0.07835115))"
17,5.481903,"(x1 - x0) * (9.9284 - (sin((x2 / -3.4142013) - cos(0.17618985 * x0)) * -0.06944015))"
