Complexity,Loss,Equation
1,4709.656,"0.67904186"
2,4704.951,"sin(x0)"
3,4668.053,"x1 / x0"
4,3517.4026,"exp(x1 * -0.26061463)"
5,410.88458,"(x0 * x1) + -65.74627"
7,4.5209446,"(x0 * x1) - (x2 / 0.37476787)"
9,4.4168167,"(x0 * (x1 * 0.9953293)) - (x2 / 0.37653047)"
11,4.4094334,"((x1 + 0.011241779) * (x0 * 0.9951457)) - (x2 / 0.37675297)"
13,4.405989,"((x0 * 0.995243) * (0.011385793 + x1)) - ((x2 / 0.37570903) - 0.19230989)"
14,4.3769307,"(((x1 * x0) - (x2 / 0.37613496)) - cos(x1 * 0.16933611)) * 0.98729223"
16,4.3406987,"((((x1 * x0) - (x2 / 0.37326193)) * 0.9872713) + 0.5858722) - cos(x1 * -0.16153324)"
18,4.325625,"(((x1 * x0) + (0.58635175 - (x2 / 0.3736594))) * 0.9876544) - cos((1.0197322 + x1) * -0.15717182)"
20,4.3233976,"(0.98748076 * ((((x0 * x1) - 1.2728777) + 1.865926) - (x2 / 0.3733627))) - cos(0.19875662 - (x1 * -0.16578586))"
