Complexity,Loss,Equation
1,1187.2792,"x1"
3,1121.1226,"x1 - x0"
5,34.75221,"(x1 - x0) * 9.717161"
7,34.652298,"(x1 - (x0 * 0.9960158)) * 9.71786"
9,34.576046,"(x0 / x2) + ((x1 - x0) * 9.698139)"
10,34.202496,"((x1 - x0) * 9.644195) + sin(x2 / x0)"
12,33.80035,"((x1 - x0) * 9.657074) + sin(x2 / (x0 + -1.4123731))"
14,33.731625,"sin((x2 / (x0 + -1.8352181)) - 0.2949498) + ((x1 - x0) * 9.641624)"
16,33.499714,"((x1 - x0) * 9.707433) + sin(x0 - ((x1 + (-0.41861397 - x2)) - x0))"
18,33.04153,"((x1 - x0) * 9.718236) + sin(((x2 * 0.097384274) - x2) - (x0 + (x0 - x1)))"
20,32.489246,"((x1 - x0) * 9.726061) + sin((x1 + ((((x2 * 0.22709475) - x2) - x0) - x0)) - 3.505971)"
