Complexity,Loss,Equation
1,22.981829,"0.034241416"
2,22.484276,"cos(x2)"
3,6.4617014,"-0.54666454 - x1"
5,5.9158316e-7,"(x2 * -0.9998254) - x1"
7,5.833176e-7,"((-9.239449e-5 - x2) * 0.99981874) - x1"
9,2.0118883e-7,"(x2 * ((x2 * 4.6198697e-5) - 1.0006577)) - x1"
11,1.9798304e-7,"((x2 * ((4.720864e-5 * x2) - 1.0006806)) - x1) + 5.9420614e-5"
12,1.8480524e-7,"((-0.012249476 * sin(x2 * 0.10197283)) - (0.99918854 * x2)) - x1"
14,1.7582133e-7,"(((sin(x2 * 0.10194088) * -0.0123083955) - (x2 * 0.99921095)) - x1) * 0.9999758"
16,1.733365e-7,"((sin((x2 + -0.058711622) * 0.12104652) * -0.0085451435) - (x2 * 0.99944645)) - (x1 * 0.9999732)"
18,1.7329128e-7,"0.9999736 * ((((-0.010603238 * sin(0.1094542 * x2)) - x2) - x1) - (-5.3243453e-5 + (x2 * -0.0006688318)))"
19,1.6921608e-7,"((((-0.010603238 * sin(0.1094542 * x2)) - x2) - x1) * 0.9999736) - (-0.0006688318 * (x2 + sin(x2)))"
