Complexity,Loss,Equation
1,22.981829,"0.033922926"
2,22.488588,"cos(x2)"
3,6.4614687,"-0.5453 - x1"
5,0.008493939,"(x1 * -1.0007613) - x2"
7,0.008493458,"((-0.00070059346 - x1) * 1.0007877) - x2"
8,0.008436515,"((sin(x2) * 0.030300697) - x1) - x2"
9,0.0083117,"((-0.002289631 / (x2 - -0.15270834)) - x1) - x2"
10,0.0076549146,"((exp(x2 * -6.2481704) * x2) - x1) - x2"
11,0.0072356095,"((sin(exp(2.571246 - x2)) * -0.061329737) - x1) - x2"
12,0.0071945684,"(((x2 * exp(x2 * -4.279643)) - x1) - x2) - 0.025756672"
13,0.0070816204,"((x2 * sin(exp(x2 * -4.7366414))) - x1) - (x2 - -0.023776013)"
14,0.0070806374,"((sin(exp(x2 * -4.675322)) * sin(x2)) - x1) - (x2 - -0.023824882)"
16,0.007066405,"((sin(exp(2.5593936 - (x2 / exp(x2)))) * -0.070909) - x1) - (x2 - -0.007276957)"
17,0.007058571,"((-0.070909 * sin(exp(2.5593936 - sin(x2 / exp(x2))))) - x1) - (x2 - -0.007276957)"
18,0.0070441565,"(((sin(exp(2.5474637 - (x2 / exp(x2 / 0.89335716)))) * -0.07715916) - x1) - x2) - 0.017486166"
