Complexity,Loss,Equation
1,0.6201814,"x0"
3,0.5990988,"x0 * 0.96434814"
5,0.006546899,"x0 - (x1 * -0.19970602)"
7,0.006542502,"((x1 * 0.19962862) + x0) - 0.0021202648"
9,0.006538278,"(x0 + ((x1 + -0.010383235) * 0.19963545)) * 0.9994869"
11,0.0065382775,"(((x1 + -0.0020796196) + x0) * 0.9994866) + (x1 * -0.79995394)"
12,0.0065066246,"((x1 * 0.1996614) + x0) + (sin(x0 * x0) * -0.009493739)"
14,0.006492063,"((x1 * 0.19964698) + x0) + (sin((x0 * 1.0159408) * x0) * -0.011076142)"
15,0.0064919447,"(x1 * 0.19964364) + ((sin(cos((x0 * x0) + -1.0369554)) * -0.011830437) + x0)"
16,0.0063282554,"((sin((x0 * x0) + (x1 * x1)) * -0.021895627) + x0) + (x1 * 0.20010164)"
17,0.0063235294,"(x0 + (x1 * 0.20011094)) + (sin(sin((x1 * x1) + (x0 * x0))) * -0.024995312)"
18,0.006302203,"((x1 * 0.20004928) + x0) + (sin(((x1 * x1) - x2) + (x0 * x0)) * -0.0232909)"
19,0.0063022017,"(x1 * 0.20005041) + (x0 + sin(sin(((x1 * x1) - x2) + (x0 * x0)) * -0.023291068))"
20,0.0062923827,"(x1 * 0.20001301) + (x0 + (sin(((x1 * x1) - (x2 * 1.5894611)) + (x0 * x0)) * -0.023311345))"
