Complexity,Loss,Equation
1,63.71256,"-0.03176296"
2,63.493095,"cos(x1)"
3,60.651066,"x0 * 0.42958227"
4,52.87665,"cos(x1) * x2"
5,0.20176461,"x2 * (x0 - 5.6732926)"
7,0.16791879,"(x2 * (x0 - 5.6885023)) + 0.18813333"
9,0.16789265,"(((x0 * 0.9993592) - 5.6848364) * x2) + 0.18801895"
10,0.15477565,"((x0 + exp(0.62380356 - x2)) - 5.683387) * x2"
11,0.12657607,"((x0 - 5.7249775) - (-0.69101965 / (x2 + 0.18021287))) * x2"
12,0.075874664,"(x2 - (sin(x2 * -9.938886) * -0.10123449)) * (x0 - 5.674666)"
14,0.073940486,"((x0 - 5.6802645) * (x2 - (sin(x2 * -12.944695) * -0.08348443))) + 0.04940342"
16,0.06945956,"((x2 - (cos(-1.3562396 - (x2 * 13.591947)) * -0.081563435)) * (x0 - 5.6838937)) + 0.12012087"
