Complexity,Loss,Equation
1,22.981829,"0.033921193"
2,22.481636,"cos(x2)"
3,6.5144777,"-0.54651797 - x1"
5,0.05417499,"(x2 + x1) * -0.99771225"
7,0.054172,"0.0017212112 - ((x2 + x1) / 1.0023066)"
8,0.05110026,"((x2 / exp(x2)) - x1) - x2"
9,0.04818632,"((sin(x2) / exp(x2)) - x1) - x2"
10,0.04426828,"((x2 / exp(x2 / 0.43872786)) - x1) - x2"
11,0.04411445,"((sin(x2) / exp(x2 * 2.1964817)) - x1) - x2"
12,0.043714914,"((x2 / (exp(x2 / 0.37806562) + 0.19474073)) - x1) - x2"
14,0.043582305,"((((x2 * 0.85116357) / exp(x2 / 0.49461836)) - x1) - x2) - 0.018483153"
15,0.043137938,"((x2 * (0.12205402 / ((x2 * x2) + 0.10389278))) - x1) - (x2 - -0.04518352)"
16,0.04302385,"((sin(sin(x2) * 3.1024482) / exp(x2 + 1.2161611)) - x1) - (x2 + 0.031824525)"
17,0.042820018,"(((x2 * (0.07032168 / (((x2 * x2) * x2) + 0.07811774))) - x1) - x2) - 0.036991227"
18,0.04281015,"(sin((x2 * 0.06881127) / (((x2 * x2) * x2) + 0.0757368)) - x1) - (x2 - -0.036745466)"
19,0.042772003,"(((x2 * (0.057132937 / ((((x2 * x2) + -0.029655695) * x2) + 0.06313844))) - x1) - x2) - 0.041457307"
20,0.042758424,"((((0.072239526 / ((x2 * (x2 * x2)) + 0.079812914)) * sin(x2)) - x1) - (x2 - -0.036023386)) / 1.0015519"
