Complexity,Loss,Equation
1,0.66355366,"x0"
3,0.6392846,"x0 * 0.9618093"
5,0.042511273,"x0 + (x1 * 0.20059793)"
7,0.04238626,"(x0 + (x1 * 0.20062271)) * 0.99721134"
9,0.042385105,"(x1 * 0.20010579) + ((x0 + 0.0011000662) * 0.9972062)"
11,0.042332973,"(x1 * 0.1998851) + (((x2 * 0.002934199) + x0) * 0.99667317)"
12,0.042280994,"(cos(x0 * 1.9571894) * 0.021686302) + (x0 + (x1 * 0.20061284))"
13,0.042264692,"(cos(-2.4233992 * sin(x0)) * 0.025512224) + ((x1 * 0.20060268) + x0)"
14,0.04224124,"((cos((x0 + x0) - x2) * 0.023532445) + (x1 * 0.20065023)) + x0"
15,0.042193186,"(x1 * 0.1987362) + (0.9954667 * (x0 + (cos(cos(x2) / 0.5988322) * 0.072272465)))"
16,0.04197298,"((x1 + (cos((x0 * -1.9669173) - (x1 * 0.24068643)) * 0.16700557)) * 0.20048752) + x0"
17,0.041950982,"((x1 + (0.16700557 * cos((-1.9669173 * x0) - sin(x1 * 0.2900325)))) * 0.20048752) + x0"
20,0.041901313,"(cos(((x0 + (x1 * 0.22315304)) + x0) - (-0.06256985 / x0)) * 0.03520202) + (x0 + (x1 * 0.2005487))"
