Complexity,Loss,Equation
1,63.71256,"-0.031786866"
2,63.58093,"cos(x1)"
3,60.63968,"x0 * 0.42959267"
4,54.131496,"cos(x1) * x2"
5,1.0309594,"x2 * (x0 + -5.6486278)"
7,0.9969473,"((x0 + -5.663772) * x2) + 0.1886344"
8,0.9154953,"(x2 * (x0 + -5.6599803)) + sin(x2)"
9,0.9035041,"(x2 * (x0 + -5.658444)) + sin(sin(x2))"
10,0.5690363,"sin(x2 * 5.293228) + (x2 * (x0 + -5.657638))"
11,0.5589249,"sin(sin(x2) * 6.5993137) + (x2 * (x0 + -5.661091))"
12,0.36640844,"(x2 + (sin(x2 * -5.2176404) / 4.728336)) * (x0 + -5.661453)"
14,0.3605435,"(x0 + -5.662596) * ((sin(x2 * -5.198663) / (x2 + 4.5740705)) + x2)"
15,0.34903085,"(x2 + ((cos(x2) / 4.4268613) * sin(x2 * -5.034688))) * (x0 + -5.6599874)"
17,0.34852967,"(x2 + ((cos(x2) / 4.409822) * sin((x2 * -5.0344296) + 0.0101944115))) * (x0 + -5.6599784)"
18,0.34454432,"((sin(-5.0263395 * cos(x2)) * (sin(x2 * -5.0263395) / 4.4052258)) + x2) * (-5.6601596 + x0)"
20,0.34214395,"(((exp(((x2 * x2) * -8.751282) * x2) * (x2 * -0.95539707)) + x2) * (x0 + -5.665639)) + 0.042805843"
