Complexity,Loss,Equation
1,0.49637622,"0.03268671"
3,0.00020098421,"x0 * -0.9996147"
5,0.0002009619,"(x0 * -0.99962354) + -0.00014753724"
7,0.00020092931,"((x0 * -0.00038395636) + -0.9996319) * x0"
8,0.00020014368,"(-0.0034810125 - cos(x0 * 0.10150392)) * x0"
9,0.00019953382,"x0 * sin(-0.6101204 - cos(x0 * x1))"
11,0.00019856675,"x0 * (-0.0026745696 - cos((cos(x0) * -0.5655904) + 0.41409162))"
12,0.000103510065,"x0 * (-0.4723295 - (((x0 * -0.469682) * x0) + cos(x1)))"
14,0.00010343368,"(-0.4569897 - ((cos(x1) * 1.0288912) + ((x0 * x0) * -0.4831108))) * x0"
15,0.000101730424,"(0.070427805 - (cos(sin(x1)) * (((x0 * -0.5447211) * x0) + 1.6152887))) * x0"
17,0.000101680525,"x0 * (0.07036189 - (cos(sin(0.0007219506 - x1)) * ((x0 * (x0 * -0.5447303)) + 1.6152391)))"
19,0.000101668775,"((0.07035676 - ((((x0 * x0) * -0.5447943) + 1.6152923) * cos(sin(0.00074404647 - x1)))) * x0) - 0.00011032691"
