Complexity,Loss,Equation
1,0.001251044,"x1"
3,0.0012487178,"x1 * 0.99785"
5,0.0012471671,"(0.0012489108 - x1) * -0.9977841"
6,0.0012122176,"sin(x1 * 0.4402878) * 2.3228538"
7,0.00072712003,"cos(x0) * sin(x1 * 1.7242051)"
8,0.00063298596,"cos(x0) * sin(sin(x1) * 1.8485398)"
10,0.000629539,"sin(x1 * 1.596729) * cos(sin(x0) * 1.0385833)"
12,0.0006171588,"sin(x1 * 1.5955718) * cos(x0 * cos(x0 * 0.46735317))"
13,0.00061712624,"cos(x0 * cos(sin(x0 * 0.48709804))) * sin(x1 * 1.592566)"
14,0.00061644893,"cos(x0 * cos((x0 * -0.4671948) - -0.008346725)) * sin(x1 * 1.5952511)"
16,0.0006162135,"cos(x0 * cos((x0 * -0.4671948) - -0.008346725)) * (sin(x1 * 1.5952511) + -0.00059781276)"
18,0.00061619416,"cos(x0 * cos((x0 * -0.46694666) - -0.008342912)) * (sin((x1 * 1.5953264) + -0.00047792902) + -0.00044212685)"
