Complexity,Loss,Equation
1,0.49637622,"0.032795783"
3,0.0012244608,"x0 * -0.9974208"
5,0.001223636,"-0.00090905884 - (x0 * 0.99748325)"
7,0.0011868436,"sin(cos(x0) - 2.2867672) * x0"
8,0.0008009694,"sin((x0 * -1.4034604) * cos(sin(x1)))"
10,0.00077717967,"sin((-0.2696858 - cos(sin(x1))) * x0) * 1.0366087"
11,0.0007047155,"sin((x1 - (x0 * 1.7158164)) - x1) * cos(x1)"
12,0.0006153351,"cos(x1) * sin((x1 - (sin(x0) * 1.836388)) - x1)"
14,0.0006139739,"cos(x1) * sin(((x1 - (sin(x0) * 1.8290964)) * 1.0038465) - x1)"
15,0.0006020011,"x0 * (cos((x1 * (x1 * 0.69706565)) - (1.537959 * cos(x0))) - 1.6773636)"
17,0.0006012607,"(x0 * (cos((cos(x0) * 1.536385) - (x1 * (x1 * 0.69623035))) - 1.67802)) - 0.0008630626"
20,0.00060074765,"(x0 * (sin(cos((((x1 * x1) * 0.74829346) - (cos(x0) * 1.6520193)) - 0.07539427)) - 1.5399426)) - 0.00079736323"
