Complexity,Loss,Equation
1,38.614853,"0.028223827"
3,0.35301822,"x0 * -8.252819"
4,0.01162207,"sin(x0) * -9.805442"
6,0.011619773,"(sin(x0) + -0.00015465402) * -9.805433"
8,6.57501e-7,"((x1 * -0.00509621) - sin(x0)) * 9.808565"
10,6.5732195e-7,"((x1 * -0.0050962376) - sin(x0 + -1.7469088e-6)) * 9.808566"
12,5.273363e-7,"((x1 * -0.04998895) - (x0 * 0.005135452)) - (sin(x0) * 9.80252)"
13,5.2732037e-7,"(sin((x1 * -0.005099976) - (x0 * 0.00052304944)) - sin(x0)) * 9.802526"
14,4.9233995e-7,"(x1 * (((x1 * 0.00018526224) * x0) + -0.049980868)) - (sin(x0) * 9.809172)"
15,4.8207403e-7,"((-0.049981263 - ((x1 * -0.00020641823) * sin(x0))) * x1) - (sin(x0) * 9.809164)"
16,4.7809283e-7,"(x1 * (-0.049981434 - (x1 * (sin(sin(x0)) * -0.00022149093)))) - (sin(x0) * 9.809157)"
17,4.4198575e-7,"((x1 * -0.0499839) - ((cos(x1 * 0.29250214) * 0.0035015421) * x0)) - (sin(x0) * 9.804912)"
18,4.4131306e-7,"((x1 * -0.049983945) - (x0 * (sin(cos(x1 * 0.30685315)) * 0.0044349986))) - (sin(x0) * 9.80459)"
