Complexity,Loss,Equation
1,38.614853,"0.028356683"
3,0.3686368,"x0 * -8.248179"
4,0.024338929,"sin(x0) * -9.802405"
6,0.024330538,"sin(x0 * -1.0023345) * 9.787241"
8,0.013239752,"(sin(x0) * -9.805284) - (x1 * 0.048840504)"
10,0.013236018,"((sin(x0) * -9.805302) - (x1 * 0.048852485)) - 0.0019382262"
12,0.013224677,"(-9.805287 * sin(x0)) - ((0.04890751 - (x1 * -0.0006247373)) * x1)"
13,0.013222273,"(sin(x0) * -9.805247) - ((x1 * 0.048871815) - (cos(x1) * 0.0058634635))"
15,0.01321921,"(sin(x0) * -9.805237) - ((x1 * 0.0493558) + (cos(0.45650426 - x1) * -0.006585596))"
16,0.013219173,"(sin(x0) * -9.805237) - ((x1 * 0.0493558) + (-0.006585596 * sin(cos(0.45650426 - x1))))"
17,0.013215896,"(sin(x0) * -9.805254) - ((x1 - (sin((x1 * x0) - x1) * -0.14774571)) * 0.04904651)"
18,0.013212903,"(sin(x0) * -9.805237) - ((x1 - ((cos(x1) + cos(x0 * -14.618264)) * 0.10554708)) * 0.048862908)"
19,0.013196149,"((sin(x0) * -9.809775) - (x1 * 0.049307495)) - (sin(((x0 * x1) - x1) + -0.7143055) * 0.010354517)"
20,0.013195973,"(sin(x0) * -9.809512) - (sin(0.049520895 * x1) - (sin(((x1 * x0) + -0.6536969) - x1) * -0.0105001265))"
