Complexity,Loss,Equation
1,0.011583566,"x1"
3,0.011572536,"x1 * 0.9984648"
5,0.011566323,"(x1 + -0.0024968034) * 0.99844545"
6,0.011540781,"x1 * cos(x0 * -0.11074063)"
8,0.011517344,"x1 * cos(x1 * (x0 * -0.05040358))"
10,0.011508789,"(cos((x0 * x1) * 0.058103852) + 0.0018139958) * x1"
12,0.0115009155,"((cos((x1 * 0.058532856) * x0) + 0.0018619788) * x1) - 0.00282084"
14,0.011485832,"(cos((x1 + (x1 * (x0 * x0))) * -0.032394923) * x1) * 1.0055442"
15,0.011481389,"cos(cos(x0 * 2.3155391) * (((x0 * -0.033062242) * x1) * x1)) * x1"
17,0.011475538,"cos(cos(x1 * (x0 * x0)) * ((x0 * (x1 * 0.025515858)) * x1)) * x1"
18,0.011474815,"x1 * cos((((x1 * x1) * x0) * cos((x1 * sin(x0)) * x0)) * 0.028723061)"
19,0.011466685,"(cos((x1 * (cos((x0 * x0) * x1) * (x0 * x1))) * 0.025703756) * x1) + -0.002971022"
20,0.011465766,"(cos((x1 * x1) * ((x0 * cos((x1 * sin(x0)) * x0)) * 0.028749371)) * x1) + -0.0030145687"
