Complexity,Loss,Equation
1,38.614853,"0.029437516"
3,0.44790292,"x0 * -8.236127"
4,0.08947752,"sin(x0) * -9.796033"
6,0.08938914,"sin(x0 * 1.0075424) * -9.747413"
8,0.077532426,"(x1 * -0.050670594) + (sin(x0) * -9.799312)"
10,0.077490605,"(((x1 - x0) * 0.005142435) + sin(x0)) * -9.859135"
12,0.077471465,"(sin((x0 * -0.006376723) - x0) * 9.758095) + (x1 * -0.050615747)"
13,0.07746909,"((sin(x0 * 1.8451992) + x1) * -0.050471716) + (sin(x0) * -9.738328)"
14,0.0774207,"(((x1 * 0.00564913) + sin(x0)) * -8.96115) - sin(sin(x0 * 0.88315475))"
15,0.07730474,"(-9.783541 * sin(x0)) + (((cos(x1 * x0) * x0) + x1) * -0.0501392)"
16,0.07721813,"(sin(x0) * -9.784627) + ((x1 + (cos(x1 * x0) * sin(x0))) * -0.050333645)"
17,0.07718979,"(sin(x0) * -9.774702) + (((cos(x1 * sin(x0)) * sin(x0)) + x1) * -0.05063314)"
18,0.077074185,"(-9.783541 * sin(x0)) + ((x1 + (cos(x0 * x1) * sin(x0 + x0))) * -0.0501392)"
19,0.07702283,"(sin(x0) * -9.774702) + (((cos(x1 * sin(x0)) * sin(x0 + x0)) + x1) * -0.05063314)"
