Complexity,Loss,Equation
1,2.059954e-9,"x1"
3,2.001482e-9,"x1 * 0.99998"
5,2.0013342e-9,"(x1 * 0.99998) + -3.6531128e-7"
6,1.9327329e-9,"x1 * cos(x0 * -0.008266734)"
8,1.9264224e-9,"x1 * (1.0000118 * cos(x0 * 0.0095713))"
9,1.9259103e-9,"x1 * ((0.00013177114 * sin(cos(x0))) + 0.9998989)"
11,1.9257165e-9,"((sin(cos(x0) * 1.1443791) * 0.00012433741) + 0.9998952) * x1"
12,1.9257067e-9,"((cos(cos(cos(x0) * 1.5966159)) * 0.00018492485) + 0.99981934) * x1"
14,1.9239976e-9,"x1 * (((cos(x0) * cos(cos(x2) * -0.54788494)) * 0.00011315715) + 0.9999083)"
16,1.9239017e-9,"(((cos(x0) * 0.0001126947) * cos(cos(x2 * 0.99643123) * 0.5440455)) + 0.9999077) * x1"
17,1.923796e-9,"(((cos(x0) * 0.0001126947) * cos(cos(x2 * cos(0.14207028)) * 0.5440455)) + 0.9999077) * x1"
