Complexity,Loss,Equation
1,0.17947422,"-0.004573078"
3,0.15344262,"x0 * -0.17379363"
4,0.11707938,"sin(x0) - x0"
6,0.040422264,"sin(x0 + x0) - x0"
8,0.034257278,"(cos(x0 * x0) + -0.5447893) * x0"
10,0.03384334,"x0 * (cos((x0 * x0) * 1.0479692) + -0.49509266)"
11,0.032875948,"x0 * ((cos(x0 * x0) * cos(x1)) + -0.5192319)"
12,0.032280933,"((cos(x0) * cos(sin(x1))) + -0.5299084) * (x0 * 2.3497953)"
13,0.03099267,"(((cos(x1) * cos(x0 * x0)) * 1.1415741) + -0.56814027) * x0"
14,0.024460549,"x0 * ((cos(x2) * 0.20068623) - (sin(cos(x0) + -0.5670238) * -2.6245925))"
15,0.021674255,"((cos(x2) * 0.20928843) - (sin(sin(cos(x0)) + -0.5305221) * -3.0142996)) * x0"
16,0.018705366,"((cos(x1 * (cos(x2) + -0.9222983)) * cos(x0)) + -0.5152291) * (x0 * 2.7351902)"
17,0.016306859,"(x0 * 2.832013) * ((cos(x0) * cos(sin((cos(x2) + -1.242774) * x1))) + -0.5048897)"
18,0.016105553,"(x0 * sin((cos(x0) * cos(sin(x1 * (cos(x2) + -1.2469126)))) + -0.5043858)) * 2.8746877"
19,0.014791819,"(((cos(sin((cos(x2 + -0.22685444) + -1.217847) * x1)) * cos(x0)) + -0.5067371) * 2.8716788) * x0"
20,0.014769575,"(((cos(sin(sin(x1) * (cos(x2 + -0.25466388) + -1.2242311))) * cos(x0)) + -0.5089894) * x0) * 2.7955072"
