Complexity,Loss,Equation
1,5.7378453e-5,"x1"
3,5.7313184e-5,"x1 + -0.0002553166"
5,5.7283105e-5,"(x1 - 0.00026277473) * 0.999547"
7,5.7268287e-5,"cos(x1 - sin(x1)) * x1"
8,5.7254227e-5,"-0.00022711641 + (cos(x2 * 0.0019155059) * x1)"
9,5.7203917e-5,"(x1 * cos(x1 - sin(x1))) - 0.00025370685"
10,5.7069254e-5,"x1 - (cos(x2 - (x1 * x2)) * -0.0010825552)"
11,5.7045723e-5,"x1 - (cos((x2 * sin(x1)) - x2) * -0.0010825552)"
12,5.669223e-5,"x1 - (cos(x2 - (x1 * (x2 + x2))) * -0.0010825552)"
14,5.6575267e-5,"x1 + (-0.00039931166 - (cos(x2 - ((x2 + x2) * x1)) * -0.0013330324))"
16,5.6458553e-5,"x1 + (-0.00039937338 - (cos(x2 - (((x2 + x2) - x1) * x1)) * -0.0013330692))"
18,5.6399767e-5,"x1 - (cos((x1 * (x2 + x2)) + sin(x2)) * ((cos(x2) - 0.32203734) * -0.001974616))"
20,5.629986e-5,"(x1 + -0.00031659403) - (cos(((x2 + x2) * x1) + sin(x2)) * ((cos(x2) - 0.32203734) * -0.001974607))"
