Complexity,Loss,Equation
1,0.17947422,"-0.0045991805"
3,0.153465,"x0 * -0.17368262"
4,0.11724349,"sin(x0) - x0"
6,0.044044428,"cos(x0 * -1.658543) * x0"
8,0.03782779,"x0 * ((cos(x0) + -0.56493634) * 2.1143777)"
9,0.03600023,"(x0 * 2.4656963) * (sin(cos(x0)) + -0.52759475)"
11,0.034429673,"(x0 * 2.3335216) * ((cos(x1) * cos(x0)) + -0.52707666)"
12,0.033642147,"(x0 * 2.3313808) * ((cos(sin(x1)) * cos(x0)) + -0.52997535)"
13,0.033293813,"(((cos(sin(sin(x1))) * cos(x0)) + -0.53241587) * 2.3246055) * x0"
14,0.03146823,"((cos(x1) * 2.503173) * x0) * ((cos(x1) * cos(x0)) + -0.52740157)"
15,0.031026188,"((cos(x1) * 2.503173) * x0) * (-0.52740157 + (cos(sin(x1)) * cos(x0)))"
16,0.019778488,"x0 * (((cos((0.7556746 - cos(x2)) * x1) + cos(x0)) + -1.5104744) * 2.6915312)"
17,0.018229738,"(((-1.5060099 + cos(sin((0.9070362 - cos(x2)) * x1))) + cos(x0)) * x0) * 2.7297437"
18,0.01751076,"x0 * (((cos(sin(x1 * (cos(x1) - cos(x2)))) + cos(x0)) + -1.50749) * 2.7279685)"
19,0.015907314,"(x0 * 2.7937853) * (cos(x0) + (cos(sin((cos(x2 - 0.24147981) - 0.9319658) * x1)) + -1.5034184))"
