Complexity,Loss,Equation
1,7.1016e-7,"x1"
3,7.0123343e-7,"x1 * 0.99993587"
5,7.0119194e-7,"(x1 - -6.3223715e-6) * 0.99993587"
6,6.807418e-7,"x1 * cos(x1 * 0.0047581983)"
8,6.6607066e-7,"x1 * (1.000167 * cos(x1 * 0.0071705687))"
9,6.660358e-7,"((x1 * (x1 * -2.6480666e-5)) - -1.0001742) * x1"
10,6.651328e-7,"(1.0001646 * cos(0.007176449 * (x1 - 0.09603813))) * x1"
11,6.6495215e-7,"((x1 * ((x1 * -2.6537045e-5) - -7.4157115e-6)) - -1.000175) * x1"
12,6.6160675e-7,"(cos(0.0014369529 * (x1 * (x0 + x1))) - -0.00010203598) * x1"
14,6.60264e-7,"(cos(((x1 + x0) * 0.0014369529) * (x1 + -0.20220003)) - -0.00010203598) * x1"
15,6.5986353e-7,"(cos(((sin(x1) - x1) * (x0 + x1)) * 0.0012953624) - -0.000102038335) * x1"
17,6.5901986e-7,"(cos((sin(x1 + -0.09410049) - x1) * ((x0 + x1) * 0.0012953624)) - -0.000102038335) * x1"
19,6.581482e-7,"(cos(((x1 * (x1 + x0)) - ((sin(x1) * x1) + x0)) * 0.0012953624) - -0.000102038335) * x1"
20,6.572367e-7,"x1 * (cos((x1 - sin(cos(x1 * x1) + x1)) * ((x0 + x1) * 0.0012631968)) - -8.8689136e-5)"
