Complexity,Loss,Equation
1,10.1782055,"0.10351255"
3,8.26785,"x0 * -0.9414778"
4,7.9059644,"cos(x0) * x1"
6,5.7328234,"x1 * cos(x0 * 1.7603649)"
7,4.1066737,"x1 - (x0 * (x1 * x0))"
8,2.2152278,"(cos(x0) + -0.572725) * (x1 * 5.031962)"
9,2.064658,"x1 + (x0 * (-0.97067964 - (x1 * x0)))"
10,0.07094861,"(((cos(x0) + -0.5756327) * x1) * 5.1055913) - x0"
11,1.8111878e-5,"((x0 * (-0.5001995 - (x0 * x1))) + x1) * 1.9988791"
13,1.8078917e-5,"1.998963 * (((x0 + -8.476655e-5) * (-0.50019807 - (x1 * x0))) + x1)"
15,1.803358e-5,"((-0.99983066 - ((1.998865 * x1) * x0)) * (x0 - 7.976091e-5)) + (1.998965 * x1)"
16,1.6787151e-5,"(x1 + (x0 * (-0.49999642 - (x0 * x1)))) * ((cos(x1) * 0.0012631834) + 1.9995352)"
18,1.6573418e-5,"((cos(x1 * -0.0145127885) * 2.000107) * ((x1 * (0.00014413297 - (x0 * x0))) + x1)) - x0"
20,1.6299404e-5,"((x0 * (-0.5001662 - (x1 * x0))) + x1) * (((sin(x0 + x1) * x1) * 0.00051476905) + 1.9993812)"
