Complexity,Loss,Equation
1,0.0009010949,"x1"
3,0.0009002397,"x1 + 0.00092158996"
5,0.0008994835,"(x1 - -0.0009144356) * 0.99941295"
7,0.00089948345,"((x1 - 0.21695891) + 0.21787338) * 0.99941295"
8,0.0008927528,"x1 + (sin(x1 * 8.346828) * 0.004349215)"
10,0.0008919282,"(sin(x1 * 8.297267) * 0.0043343613) + (x1 - -0.00092106237)"
11,0.000891927,"((sin(sin(x1 * 8.239515)) * 0.004903296) + x1) - -0.0009205737"
12,0.00083788537,"(sin((x0 * x1) * (x0 * 8.201637)) * 0.011860928) + x1"
13,0.0008352092,"x1 + (sin(((x0 * 8.513701) * x0) * sin(x1)) * 0.01259603)"
14,0.0007854535,"(sin(((x1 * x0) * (x1 - x0)) * 6.309759) * -0.015258291) + x1"
15,0.0007577852,"x1 + (sin((x1 * 6.396189) * ((sin(x1) - x0) * x0)) * -0.01876667)"
16,0.0007419819,"x1 + (sin((x1 * (6.4918537 * x0)) * (x0 - sin(sin(x1)))) * 0.019620057)"
18,0.00073480647,"x1 + (-0.01876667 * sin(x1 * (6.396189 * (sin(sin(sin(sin(-1.0125394)))) - (x0 * x0)))))"
19,0.0007169612,"x1 + (sin(((sin(sin(sin(x1 * x0))) - (x0 * x0)) * x1) * 6.7224617) * -0.021296035)"
