Complexity,Loss,Equation
1,0.005513635,"x1"
3,0.005504781,"x1 * 0.9979903"
5,0.0055047297,"(x1 * 0.9979939) + 0.00022651153"
6,0.0055012256,"cos(x0 * 0.0587888) * x1"
7,0.0054857065,"x1 * cos(sin(x1) * -0.1255561)"
8,0.005380532,"x1 + (sin(x1 * 6.312441) * 0.021864459)"
12,0.0047957394,"(x0 * (sin((x0 * 4.6381726) * x1) * 0.028758414)) + x1"
13,0.0046309307,"(sin(x0 * cos((x0 * x1) * 2.3559933)) * -0.054921847) + x1"
14,0.0046156645,"(sin(sin(cos((x0 * x1) * 2.3291392) * x0)) * -0.06180112) + x1"
15,0.004440124,"(sin(cos((x0 * x1) * (x1 - x0)) * x0) * -0.06405359) + x1"
16,0.0043982584,"x1 + (sin(sin(cos(((x0 - x1) * x1) * x0) * x0)) * -0.07267036)"
17,0.004252827,"(sin(x0 * cos((x1 - x0) * ((x1 * -1.0874113) * x0))) * -0.068076134) + x1"
18,0.0042180163,"(sin(sin(x0 * cos((((x1 - x0) * x0) * x1) * -1.08195))) * -0.076984175) + x1"
19,0.004095027,"(sin(cos(x1 * ((x0 * (x0 - x1)) * -1.069405)) * (x0 * 1.4495981)) * -0.06538438) + x1"
20,0.0040901965,"x1 + (sin((x0 * sin(cos(((x1 - x0) * (x0 * x1)) * -1.067096))) * 1.6732785) * -0.062405895)"
