Complexity,Loss,Equation
1,2.2563845e-5,"x1"
3,2.2555647e-5,"x1 * 1.0000949"
5,2.2546543e-5,"x1 + (x0 * 8.720579e-6)"
7,2.2526672e-5,"((x1 * -0.0026725987) + 1.0027349) * x1"
8,2.2473689e-5,"x1 * (cos(x1 * 0.076918475) * 1.0030025)"
9,1.7229726e-5,"((x0 * -0.01911016) * (x1 - 1.0001644)) + x1"
10,1.6790022e-5,"((x0 * sin(1.0001444 - x1)) * 0.020650927) + x1"
11,1.0935766e-5,"((x0 * (x0 * -0.0022243469)) * (x1 - 1.000034)) + x1"
12,7.846656e-6,"x1 + ((0.04973366 * (0.99998343 - x1)) * (x0 - sin(x0)))"
14,7.5701437e-6,"x1 - (((x0 - sin(x0)) * ((x1 * x1) - x1)) * 0.052680686)"
15,6.565015e-6,"x1 - (((x1 * x1) - x1) * sin((x0 - sin(x0)) * 0.0804604))"
17,6.1574783e-6,"x1 - (((x1 * x1) - x1) * sin(((x0 - 0.12586121) - sin(x0)) * 0.08412843))"
19,5.658824e-6,"x1 - (((x1 * x1) - x1) * sin(0.09394163 * ((x0 - 0.42667136) - sin(x0 - 0.3778269))))"
