Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
4,0.005468769,"cos(x1) * 0.07665111"
5,0.0007020801,"x1 - (x1 * x1)"
6,0.00025673423,"cos(x1 * 1.569969) * x1"
7,0.00024083174,"sin(x1 * cos(x1 * 1.5698493))"
8,0.00022959242,"sin(sin(cos(x1 * 1.569744) * x1))"
9,0.00022236507,"sin(sin(sin(cos(x1 * 1.5696589) * x1)))"
10,0.0001640143,"(x1 + 0.041002255) * sin((x1 + -1.0013707) * -1.3168077)"
11,9.555739e-5,"(x1 * (((x1 * x1) * -0.7718987) + 0.7090945)) + 0.06406636"
12,8.045488e-5,"(sin((x1 * x1) + -1.001183) * (x1 + 0.112713344)) * -0.7603509"
13,7.676308e-5,"(sin(sin((x1 * x1) + -1.0009273)) * -0.77700233) * (x1 + 0.13853537)"
15,7.413133e-5,"(x1 + 0.1340604) * sin(sin(sin(sin(sin(sin((x1 + -1.0005215) * -1.4594613))))))"
16,7.300621e-5,"(sin(sin(sin(sin(sin(sin(sin((x1 + -0.9474458) * -1.5470768))))))) * x1) + 0.0815724"
17,7.238747e-5,"sin(x1 * sin(sin(sin(sin(sin(sin(sin((x1 + -0.9473293) * -1.5572256)))))))) + 0.0821463"
18,7.187119e-5,"sin(sin(x1 * sin(sin(sin(sin(sin(sin(sin((x1 + -0.94749224) * -1.5693206))))))))) + 0.082401775"
19,7.147049e-5,"sin(sin(sin(sin(sin(sin(sin(sin(sin(sin((x1 + -0.9474672) * -1.5790025))))))) * x1))) + 0.08282268"
20,7.100589e-5,"sin(sin(sin(sin(sin(x1 * sin(sin(sin(sin(sin(sin((x1 + -0.9507063) * -1.5940827))))))))))) + 0.078472905"
