Complexity,Loss,Equation
1,0.00014137672,"x1"
3,0.00014125797,"x1 - -0.0003441905"
5,0.00014123479,"(x1 * 0.99936604) + 0.0009215237"
6,0.00014119782,"(cos(x1) * 0.0006987878) + x1"
7,0.00013879297,"((x1 * -0.024516128) + 1.0245146) * x1"
8,0.00011791623,"(x1 + 0.023755101) * cos(x1 + -0.7813355)"
9,0.00011356624,"1.018576 * (cos(0.7333871 - cos(x1)) * x1)"
10,0.000101700665,"x1 * (cos(x1 * (0.79748696 - x1)) * 1.0203322)"
11,7.993581e-5,"cos(x1 - sin(x1 * 2.302504)) * (x1 * 1.0336208)"
12,6.816186e-5,"cos(((x1 * x1) - 0.7746528) * x1) * (x1 * 1.0255916)"
13,4.6947873e-5,"(cos(x1 - sin(x1 * (x1 * 2.2144864))) * 1.0206819) * x1"
15,4.3760676e-5,"(x1 * cos(sin(x1 * ((x1 * x1) * 2.165292)) - x1)) * 1.0163366"
16,3.8536942e-5,"x1 * (cos(cos(sin(((x1 + 1.1671342) * 5.5922246) * x1)) - 0.7231628) * 1.017368)"
18,3.833065e-5,"(x1 * cos(0.72179353 - cos(sin((((x1 + 1.1647707) * -2.6908176) * x1) * x1)))) * 1.0169822"
20,3.7815378e-5,"cos(cos(sin((x1 * ((x1 * (x1 * x1)) + 1.1644529)) * -2.690649)) - 0.7204729) * (x1 * 1.0171232)"
