Complexity,Loss,Equation
1,0.0065076225,"0.033340506"
4,0.0054715425,"cos(x1) * 0.07656961"
5,0.00077871926,"x1 * (1.0060234 - x1)"
6,0.0005186997,"cos(x1 * -1.5699812) * x1"
7,0.0004408176,"(x1 * -1.2851182) * (x1 + -1.0018566)"
8,0.0004387507,"(cos(x1 + -2.572315) * x1) * -1.3529831"
9,0.00040075256,"(((x1 + -0.97224236) * -1.1845263) * x1) - -0.035611972"
10,0.0003159424,"((0.78846455 - sin(x1 * x1)) * x1) + 0.0552919"
11,0.00029726932,"sin(0.8434313 - sin(x1 * x1)) * (x1 + 0.079196796)"
12,0.0002843208,"(x1 + 0.10106148) * sin(sin(0.84335136 - sin(x1 * x1)))"
14,0.0002422931,"(x1 * (0.8821279 - sin(((x1 * x1) * x1) - -0.25787047))) - -0.07116755"
15,0.00023203611,"sin(0.96045053 - sin((x1 * (x1 * x1)) - -0.28295246)) * (x1 - -0.111544654)"
16,0.0001854007,"(0.98993456 - sin((x1 * ((x1 * x1) * x1)) - -0.42162073)) * (x1 - -0.12753828)"
17,0.00017702472,"(x1 - -0.14347667) * sin(0.9890782 - sin(((x1 * x1) * (x1 * x1)) - -0.41649398))"
18,0.00015039675,"(x1 - -0.15480724) * (0.99732184 - sin((x1 * (x1 * (x1 * (x1 * x1)))) - -0.49571827))"
19,0.0001449842,"(x1 - -0.1692833) * sin(0.99697155 - sin((x1 * ((x1 * (x1 * x1)) * x1)) - -0.49184018))"
20,0.00014117175,"sin((x1 - -0.17103978) * sin(0.99654925 - sin((x1 * (x1 * ((x1 * x1) * x1))) - -0.48683134)))"
