Complexity,Loss,Equation
1,1187.4398,"x1"
3,1121.0099,"x1 - x0"
5,0.0093756635,"(x1 - x0) * 9.97715"
7,0.009375638,"(x0 - (x1 + 2.2005465e-6)) * -9.97714"
9,0.0070108166,"(x1 - x0) * ((x2 * -0.0013696842) + 10.016241)"
10,0.002012167,"(x1 - x0) * (cos(x0 * -0.008218707) * 10.008388)"
11,0.0020093124,"((x1 - x0) * 10.008334) * cos(sin(x0 * -0.008218682))"
12,0.0019122491,"(x1 - x0) * ((cos(x0 * -0.11800724) * 0.065733634) + 9.947359)"
14,0.001912173,"(x1 - x0) * ((cos((x0 - -0.010486424) * -0.11800724) * 0.065733634) + 9.947359)"
18,0.0019121208,"((9.947903 + ((cos((x0 - -0.010614768) * 0.1185427) * 0.06516672) - x1)) + x1) * (x1 - x0)"
20,0.0016060092,"((cos((x1 * -0.014552579) + (x0 * 0.15498976)) * 0.052736416) + (x1 + (9.963947 - x1))) * (x1 - x0)"
