Complexity,Loss,Equation
1,1187.5934,"x1"
3,1121.0781,"x1 - x0"
5,5.536145,"(x0 - x1) * -9.937811"
7,5.536071,"(x1 - (x0 - 0.00086285593)) * 9.937814"
9,5.5336237,"((x2 * 0.0014144349) + 9.897479) * (x1 - x0)"
11,5.5173197,"((9.980741 - (x2 * 0.0024402097)) * x1) + (x0 * -9.91475)"
13,5.4800735,"((x1 - (x0 * (x2 * 0.0005925994))) + (x0 * -0.9826989)) * 9.873905"
15,5.4784894,"(((x0 * -0.9821909) + x1) * 9.872581) - (-0.04176905 - ((x2 * x0) * -0.0059736813))"
16,5.47306,"(((x0 * -0.9818288) + x1) * 9.87052) - ((sin(x2) - x2) * (x0 * -0.006131832))"
17,5.4726486,"(((x0 * -0.9819291) + x1) * 9.871881) - ((((x1 * 0.15004694) - x2) * -0.006034542) * x0)"
18,5.200947,"((x0 * -0.8070852) + ((x1 - sin(x0 * 0.119129494)) - ((x2 * 0.0036008146) * x0))) * 9.561729"
20,5.1936617,"(((x0 * -0.8047865) + ((x1 - sin(x0 * 0.12075343)) - ((x0 * 0.0036772862) * x2))) * 9.554328) + -0.09215541"
