Complexity,Loss,Equation
1,3277.9973,"-0.070471235"
2,3276.668,"cos(x2)"
3,2987.7446,"x0 * -2.09013"
5,17.433575,"(27.003775 - x2) * x0"
7,9.067345,"(x0 * -0.94967353) * (x2 + -26.892992)"
9,3.3301482,"((x0 * (x2 + -27.987019)) + x1) * -0.99522156"
11,3.2814276,"(x1 * -0.9142976) + ((x2 + -27.908329) * (x0 * -0.991891))"
13,3.2801576,"((x1 * -0.9130959) + (x0 * ((x2 + -27.90569) * -0.9917805))) + -0.03736445"
15,3.277904,"(x1 * -0.9127136) + (-0.99174595 * (((x2 + -27.904882) - (x0 * -0.0006792896)) * x0))"
16,3.2003236,"(x0 * ((x2 + -27.694904) * -0.9792141)) + ((x1 * -0.7756658) + sin(x0 * 0.24664864))"
17,3.2002811,"((x0 * ((x2 + -27.72142) * -0.98032635)) + sin(sin(x0 * 0.25700328))) + (x1 * -0.7878609)"
18,3.1993008,"(((x2 + -27.65339) * x0) * -0.97756046) + ((x1 * -0.757616) + (sin(x0 * -0.23379426) * -1.1977558))"
19,3.1976907,"(sin(sin(x0 * -0.24740928) * -1.3243458) + (x1 * -0.7682096)) + ((x0 * (x2 + -27.683548)) * -0.97852856)"
