Complexity,Loss,Equation
1,1187.2792,"x1"
3,1121.1226,"x1 - x0"
5,34.75221,"(x1 - x0) * 9.717208"
7,34.652298,"(x1 - (x0 * 0.9960157)) * 9.717952"
9,34.640625,"0.11232055 - ((x1 * -9.718182) - (x0 * -9.6756525))"
12,34.015663,"sin((x0 + x2) * -0.17403863) + ((x1 - x0) * 9.623949)"
14,33.654358,"sin((x2 + x0) + (x0 - x1)) + ((x1 - x0) * 9.713954)"
16,32.82556,"((x1 - x0) * 9.632107) - sin((0.66141003 * x2) - ((x1 - x0) - x0))"
18,31.684351,"((x1 - x0) * 9.632107) - (sin((x2 * 0.66141003) - ((x1 - x0) - x0)) * 3.058293)"
19,31.617592,"((x1 - x0) * 9.632107) - (sin(sin((x2 * 0.66141003) - ((x1 - x0) - x0))) * 3.058293)"
20,30.849636,"((x1 - x0) * 9.742351) - (sin((x2 * 0.7726107) - (((x1 - x0) - x0) - 9.787982)) * 2.8427951)"
