Complexity,Loss,Equation
1,22.981829,"0.03425696"
2,22.484276,"cos(x2)"
3,6.4617014,"-0.546671 - x1"
5,5.915814e-7,"(x2 * -0.9998263) - x1"
7,5.8332336e-7,"-9.22733e-5 - (x1 + (x2 * 0.999818))"
9,2.0118893e-7,"(x2 * ((x2 * 4.619815e-5) - 1.0006577)) - x1"
11,1.8752787e-7,"(x2 * ((x2 * (x2 * 1.5797598e-6)) - 1.0003808)) - x1"
12,1.8625126e-7,"(sin(x2 * 0.13101797) * -0.007096029) - ((x2 * 0.99954945) + x1)"
13,1.7882228e-7,"((x2 * (((x2 * 1.5841745e-6) * x2) - 1.0004075)) - x1) * 0.99997616"
15,1.6051735e-7,"((0.0002755115 - (x0 * 2.5025583e-5)) * (x2 * x0)) - (x1 + (x2 * 1.0003473))"
16,1.6051716e-7,"(sin((0.0002755115 - (x0 * 2.5025583e-5)) * x2) * x0) - (x1 + (x2 * 1.0003473))"
17,1.5397201e-7,"((((0.0002758283 - (x0 * 2.4832078e-5)) * x2) - 2.126466e-5) * x0) - ((x2 * 1.0003482) + x1)"
19,1.5397185e-7,"(x0 * (((0.0002758283 - ((0.0002758283 + x0) * 2.4832078e-5)) * x2) - 2.126466e-5)) - (x1 + (x2 * 1.0003482))"
