Complexity,Loss,Equation
1,0.616814,"x0"
3,0.59598607,"x0 * 0.9645658"
5,1.0934785e-7,"x0 - (x1 * -0.20000063)"
7,1.0090816e-7,"((x1 * 0.20000063) + x0) * 0.99997705"
9,1.0087871e-7,"(((x1 * 0.20000058) + x0) * 0.99997705) - -1.9505599e-6"
11,9.3949545e-8,"(x0 + (((x2 * 2.3540408e-5) + 0.19999564) * x1)) * 0.9999768"
13,8.782854e-8,"(x0 + (x1 * 0.19999728)) + (x2 * ((x0 * -1.8084826e-5) + 9.200721e-5))"
15,8.449636e-8,"((x1 * 0.19999753) + (((x0 + -5.454502) * (x2 * -1.6489965e-5)) + x0)) * 0.9999844"
17,8.4494985e-8,"((x1 * 0.19999757) + ((((x0 + -4.716578) - 0.7339142) * (x2 * -1.6485836e-5)) + x0)) * 0.9999845"
18,8.441859e-8,"(x0 + ((x1 * 0.19999829) + ((x2 - sin(x2)) * ((x0 + -5.4605985) * -1.6464426e-5)))) * 0.9999836"
