Complexity,Loss,Equation
1,63.71256,"-0.031917088"
2,63.493095,"cos(x1)"
3,60.651066,"x0 * 0.42959693"
4,52.87665,"x2 * cos(x1)"
5,0.20176461,"(x0 + -5.6732926) * x2"
7,0.16791879,"(x2 * (x0 + -5.6884747)) + 0.18813019"
9,0.16789266,"((x2 * (x0 + -5.6884766)) + 0.18811196) * 0.9993598"
10,0.16095473,"sin(x2 * 5.7012067) + ((x0 + -5.6760564) * x2)"
11,0.1399622,"(x2 * (x0 + -5.6784835)) + sin(sin(x2 * 6.9760346))"
12,0.07587078,"((sin(x2 * -12.946267) * 0.08840322) + x2) * (x0 + -5.676496)"
14,0.07393612,"((x0 + -5.6802077) * ((sin(x2 * -12.947129) * 0.083509445) + x2)) - -0.04913862"
17,0.072535105,"(x2 + (sin(x2 * -9.942115) * 0.10090462)) * (x0 + (-5.665971 - (cos(x2) * -0.031735774)))"
19,0.070948474,"(((x0 - (cos(x2) * -0.030088684)) + -5.6717777) * ((sin(x2 * -12.950249) * 0.0834674) + x2)) - -0.046358753"
