Complexity,Loss,Equation
1,0.66355366,"x0"
3,0.6392846,"x0 * 0.9618092"
5,0.042511273,"x0 + (x1 * 0.20059793)"
7,0.04238626,"(x0 - (x1 * -0.20062692)) * 0.9972112"
9,0.04238511,"((x0 * 0.99720615) + 0.0010848121) + (x1 * 0.2001047)"
11,0.042332973,"((((x2 * -0.014628877) - x1) * -0.20055254) + x0) * 0.9966732"
12,0.042281006,"(((cos(x0 * -1.9567605) * -0.10761188) - x1) * -0.20061317) + x0"
14,0.042163253,"(x0 + (((cos(-1.9587274 * x0) * -0.105404735) - x1) * -0.20063263)) * 0.99747473"
16,0.041984025,"(((cos((x0 - (x1 * -0.24011481)) + x0) * -0.1576023) - x1) * -0.20006964) + x0"
18,0.04158361,"(((cos((1.8410386 + (x0 * x0)) + (x1 * x1)) * -0.18395117) - x1) * -0.20115668) + x0"
20,0.041555237,"(((cos(((x2 - -1.6989001) + (x0 * x0)) + (x1 * x1)) * -0.18395117) - x1) * -0.20115668) + x0"
