Complexity,Loss,Equation
1,63.71256,"-0.032239377"
2,63.58093,"cos(x1)"
3,60.639683,"x0 * 0.42963386"
4,54.131496,"cos(x1) * x2"
5,1.0309594,"(x0 + -5.648554) * x2"
7,0.99694717,"((x0 + -5.6637707) * x2) + 0.18857211"
8,0.9154953,"((x0 + -5.659965) * x2) + sin(x2)"
9,0.9035041,"((x0 + -5.658444) * x2) + sin(sin(x2))"
10,0.5690359,"((x0 + -5.6575823) * x2) - sin(x2 * -5.293023)"
11,0.558925,"((x0 + -5.661086) * x2) - sin(sin(x2) * -6.5988793)"
12,0.5460297,"(x2 - (cos(x2) * sin(sin(x2)))) * (x0 + -5.661681)"
13,0.4996497,"(x2 - (sin(x2) * (cos(x2) * 0.7123738))) * (x0 + -5.661014)"
14,0.3707468,"((cos((x2 - -0.7732466) * 6.0449) * -0.1961903) + x2) * (x0 + -5.660604)"
16,0.36159486,"((x0 + -5.6693106) * ((cos((-5.695876 - x2) * 5.2244177) * -0.20927536) + x2)) - -0.10539708"
18,0.36093432,"(((x2 * 0.9935835) + (cos((x2 - -2.83375) * 6.0527325) * -0.19190681)) * (x0 + -5.6703873)) - -0.12827095"
