Complexity,Loss,Equation
1,0.49637622,"0.032727074"
3,8.140216e-9,"x0 * -0.99998283"
5,8.137366e-9,"(1.6917584e-6 - x0) * 0.99998266"
7,8.134872e-9,"((x1 * 3.251016e-6) - x0) * 0.99998266"
8,5.843723e-9,"(1.620069e-6 / sin(-0.9690007 / x0)) - x0"
10,1.7181125e-9,"(-4.1989033e-6 / sin(-0.968863 / (x0 + x0))) - x0"
11,1.7154486e-9,"(-4.181181e-6 / sin(sin(-0.968863 / (x0 + x0)))) - x0"
13,5.3683363e-10,"(exp(x1) * (-1.8490252e-6 / sin(-0.968863 / (x0 + x0)))) - x0"
14,4.982358e-10,"(((x1 + 1.2950816) * -2.1278925e-6) / sin(-0.9688691 / (x0 + x0))) - x0"
15,4.3562387e-10,"((exp(x1 + x0) * -1.6843683e-6) / sin(-0.9688467 / (x0 + x0))) - x0"
16,2.9202335e-10,"((exp(exp(x0 + x1)) * -2.339856e-7) / sin(-0.9688467 / (x0 + x0))) - x0"
17,2.9189842e-10,"((exp(exp(sin(x0) + x1)) / sin(-0.9688467 / (x0 + x0))) * -2.3477186e-7) - x0"
18,2.8828592e-10,"((exp(exp(x1 + (x0 * 1.06292))) * -2.2698659e-7) / sin(-0.9688467 / (x0 + x0))) - x0"
