Complexity,Loss,Equation
1,0.00020491616,"x1"
3,0.0002047761,"x1 * 0.99947155"
5,0.0002047364,"(x1 + -0.00019950232) * 0.9994613"
6,0.00020382053,"sin(x1 / -5.52533) * -5.5452313"
7,0.00017727929,"cos(x0) * sin(x1 / 0.57918215)"
8,0.000101959944,"cos(x0) * sin(sin(x1) / 0.54301435)"
10,0.00010177146,"sin(sin(x1) / 0.544445) * (cos(x0) + 0.000932014)"
12,9.996961e-5,"sin(((x1 * x0) / 0.6436641) / sin(x0)) * cos(x0)"
14,9.9794626e-5,"(cos(x0) * 1.0008557) * sin(((x0 * x1) / sin(x0)) / 0.64482945)"
16,9.9764206e-5,"((sin((x1 * (x0 / sin(x0))) / 0.644809) * 1.0008382) * cos(x0)) - 0.00017463381"
18,9.9762656e-5,"(cos(x0) * 1.354963) * (sin((x1 * ((x0 / sin(x0)) / 0.6448193)) - 0.0005295987) * 0.73865134)"
