Complexity,Loss,Equation
1,1.1482665e-6,"x1"
3,1.0607516e-6,"x1 * 0.9998628"
5,1.0606734e-6,"(x1 + -8.821054e-6) * 0.99986285"
7,3.5005567e-7,"(2.4699483e-8 / (-5.048022e-7 - x1)) + x1"
8,3.4997834e-7,"x1 + (5.8360897e-8 / (-1.1927591e-6 - sin(x1)))"
9,2.6254233e-7,"(2.5552827e-9 / (-5.2207504e-8 - x1)) - (x1 * -0.9998628)"
11,2.625421e-7,"(x1 + (1.547916e-8 / (-3.1616634e-7 - (x1 * -0.4667115)))) * 0.99986285"
12,2.6254133e-7,"((1.547916e-8 / (-3.1616634e-7 - (x1 * exp(x1)))) + x1) * 0.99986285"
13,2.6250262e-7,"(1.2570715e-8 / (-2.5692282e-7 - ((x1 + -0.9337828) * x1))) + (0.99986285 * x1)"
14,2.6230208e-7,"(0.99986285 * x1) + (1.2570715e-8 / (-2.5692282e-7 - (x1 * (2.5270157 - exp(x1)))))"
15,2.6180948e-7,"(1.2570715e-8 / (-2.5689295e-7 - (x1 * ((x1 + -0.9337828) * 0.047537506)))) + (x1 * 0.99986285)"
19,2.6179586e-7,"(1.2570715e-8 / (-2.5692282e-7 - ((x1 * exp(-2.0658798 - cos(1.2570715e-8))) * (-0.9337828 + x1)))) + (0.99986285 * x1)"
20,2.615114e-7,"(0.99986285 * x1) + (1.2570715e-8 / (-2.5692282e-7 - (sin(exp(1.2570715e-8 - exp(1.2409885))) * ((x1 + -0.9337828) * x1))))"
