Complexity,Loss,Equation
1,38.614853,"0.028408902"
3,0.35301822,"x0 * -8.252802"
4,0.011622071,"sin(x0) * -9.805443"
6,0.011619774,"(sin(x0) * -9.805475) + 0.0015159448"
8,6.5751203e-7,"((x1 * 0.0050962595) + sin(x0)) * -9.808565"
12,5.2766507e-7,"(sin(x0) + ((x0 * 0.00051151804) + (x1 * 0.005100134))) / -0.102013275"
14,5.2747845e-7,"(((x1 * 0.0050996086) + sin(x0)) + (-0.00015525882 / (-0.3066501 / x0))) / -0.1020125"
15,5.274457e-7,"(sin((x1 * 0.0050996304) + (-0.00015525882 / (-0.3066501 / x0))) + sin(x0)) / -0.1020125"
16,5.201847e-7,"(((x1 * 0.005098284) + ((cos(cos(x0)) * x0) * 0.00027753465)) + sin(x0)) / -0.10197916"
17,4.4471992e-7,"((sin(x0) + (0.005097282 * x1)) + (cos(x1 * -0.35658547) * (0.00027881094 * x0))) / -0.101979785"
19,4.446448e-7,"(((x1 * 0.005097282) + ((cos(0.005097282 - (x1 * -0.35658547)) * x0) * 0.00027881094)) + sin(x0)) / -0.101979785"
20,4.4456146e-7,"(((x1 * 0.005097282) + (cos((0.00027881094 - x1) * sin(-0.35658547)) * (x0 * 0.00027881094))) + sin(x0)) / -0.101979785"
