Complexity,Loss,Equation
1,38.614853,"0.028251316"
3,0.3686368,"x0 * -8.248179"
4,0.024338929,"sin(x0) * -9.802405"
6,0.024330579,"sin(x0 * 1.0024993) * -9.786141"
8,0.013239752,"(x1 * -0.048840504) - (sin(x0) * 9.805284)"
10,0.013232387,"(x1 * -0.04885099) - (sin(x0 - -0.0003576219) * 9.805309)"
12,0.013224677,"(sin(x0) * -9.805289) + ((-0.048907075 - (x1 * 0.00062454306)) * x1)"
13,0.013218936,"(x1 * -0.048870783) - (sin(x0 - (cos(x1) * 0.0008288371)) * 9.805241)"
15,0.013196676,"(sin(x0 - (cos(exp(exp(x1))) * -0.0015713454)) + (x1 * 0.005094257)) * -9.80521"
16,0.013185519,"((0.005194818 * x1) + sin(x0 - (cos(exp(0.55066675 + x1)) * -0.0010431655))) * -9.805209"
17,0.013181487,"((x1 * -0.049648568) - (cos(exp(exp(x1) * 0.99995506)) * 0.013461657)) + (sin(x0) * -9.805212)"
18,0.01317985,"(sin(x0) * -9.805212) + ((x1 * -0.049648568) - (sin(cos(exp(exp(x1) * 0.99995506))) * 0.013535029))"
20,0.013167934,"((sin(x0) * -9.805212) + (-0.049648568 * x1)) - (cos(exp(exp(x1) * 0.99995506)) * (cos(x0) * 0.013461657))"
